0.	Indeterminate	Indeterminate	0	0	11
0.005	0.005125165331842173	0.004906917755236482	-0.00003430364885575095	-0.00003279243960394719	25
0.01	0.00521591040544182	0.004956099312337393	-0.00007009889090215852	-0.00006640316397375278	25
0.015	0.005307690388636014	0.005006298206882963	-0.00010742162817290811	-0.00010085756762756661	24
0.02	0.005400536899269326	0.005057561848921553	-0.00014630910249666592	-0.00013618261397580156	24
0.025	0.005494482015424098	0.005109939746229237	-0.00018679993584492396	-0.00017240693142979213	24
0.03	0.005589558954913297	0.005163482839179238	-0.00022893420248077968	-0.0002095608819901879	24
0.035	0.005685801953832961	0.005218243789586805	-0.00027275349094127015	-0.0002476766502072159	24
0.04	0.00578324672464752	0.005274278311957674	-0.00031830099453107667	-0.00028678840219189167	24
0.045	0.005881929569302143	0.005331642913844405	-0.000365621540030517	-0.00032693228224205237	24
0.05	0.005981888563618958	0.005390397733449438	-0.00041476172241634764	-0.000368146663950835	24
0.055	0.006083162532917709	0.005450604385648836	-0.000465769925342485	-0.0004104721486645846	24
0.06	0.006185791905153921	0.005512327638080892	-0.0005186964540957655	-0.0004539517881415058	24
0.065	0.00628981831136594	0.005575634818151379	-0.0005735935965927585	-0.0004986311812729801	24
0.07	0.006395284557822461	0.005640595804920618	-0.0006305157022004916	-0.0005445586005816944	24
0.075	0.0065022353328440426	0.005707284438378018	-0.0006895193426190397	-0.0005917852722041627	24
0.08	0.006610716489703304	0.005775777360693836	-0.0007506633434888034	-0.0006403654325000067	24
0.085	0.006720775471446729	0.0058461546876877185	-0.0008140089248240692	-0.0006903565543535978	24
0.09	0.006832461342219953	0.005918500408627064	-0.00087961981284303	-0.0007418195732877371	24
0.095	0.006945824649618963	0.0059929021070904125	-0.0009475623332332414	-0.0007948190437564052	24
0.1	0.007060918039719634	0.006069452465110798	-0.0010179056105426344	-0.0008494235389423887	24
0.105	0.007177795688972662	0.006148248063216646	-0.0010907216175080757	-0.0009057057201888481	24
0.11	0.007296513504661152	0.006229389976936155	-0.0011660853254587091	-0.0009637426380740065	24
0.115	0.007417129587236054	0.0063129851259845025	-0.001244074913729933	-0.0010236161897007956	24
0.12	0.00753970401947652	0.006399145606407691	-0.0013247718820803525	-0.0010854132946893226	24
0.125	0.007664298609380397	0.006487988902642717	-0.0014082611534094582	-0.0011492262085754518	24
0.13	0.0077909773928568505	0.0065796392913426895	-0.0014946313129909064	-0.0012151530720986704	23
0.135	0.00791980776895462	0.006674228207613947	-0.0015839750010703776	-0.0012832983282291895	23
0.14	0.008050857875443927	0.006771892817364243	-0.0016763885869052618	-0.0013537728117942248	23
0.145	0.008184199192437219	0.006872779153736516	-0.0017719728499161816	-0.0014266947265673686	23
0.15	0.008319905200143961	0.006977040365193628	-0.0018708329073181672	-0.0015021897237089258	23
0.155	0.008458052215841083	0.007084838972480197	-0.001973078591423173	-0.0015803918080556428	23
0.16	0.008598719455264404	0.007196347081849694	-0.002078824688308386	-0.0016614438867826153	23
0.165	0.008741988556516691	0.007311746306194751	-0.0021881910499112036	-0.0017454982702424491	23
0.17	0.008887944105040164	0.007431229146415588	-0.002301302951627214	-0.001832717546289454	23
0.175	0.00903667385774733	0.007555000113136983	-0.0024182914075928244	-0.001923275472022164	23
0.18	0.009188268538348336	0.007683275984646631	-0.002539293380193563	-0.002017357701412484	23
0.185	0.009342821896436107	0.007816286794354246	-0.0026644520734870948	-0.002115162750623222	23
0.19	0.009500431170138612	0.007954277556133652	-0.0027939173528814375	-0.0022169032329588433	23
0.195	0.009661196680012843	0.008097508353271039	-0.0029278459395203136	-0.0023228067312713115	23
0.2	0.009825222324553894	0.008246256726088431	-0.003066401881209359	-0.002433117382385272	23
0.205	0.00999261558108015	0.008400818392237573	-0.0032097568977608624	-0.0025480970978782186	23
0.21	0.010163487277406524	0.008561508741816236	-0.0033580906709526448	-0.0026680270948628852	23
0.215	0.010337951954222026	0.0087286646555219	-0.003511591337197232	-0.00279320963908138	23
0.22	0.010516127858191223	0.008902646548961349	-0.0036704558891508254	-0.0029239699939842528	23
0.225	0.010698136876226307	0.009083840122325508	-0.0038348905758817846	-0.0030606584150848102	23
0.23	0.010884104385183358	0.009272658247694349	-0.004005111288441582	-0.0032036523290026	23
0.235	0.01107415954249537	0.009469544117364129	-0.004181344125446821	-0.0033533591097045694	23
0.24	0.011268434850853201	0.009674973471445124	-0.004363825725360775	-0.0035102187472175203	23
0.245	0.011467066417863688	0.009889458123374311	-0.004552803868345664	-0.0036747071745926933	23
0.25	0.011670193247037029	0.01011354832103611	-0.004748537735773785	-0.003847339414811472	23
0.255	0.01187795738139539	0.010347837321843602	-0.004951298515093333	-0.004028673800566467	23
0.26	0.012090503790069125	0.01059296624838141	-0.005161369947840355	-0.004219316655557463	23
0.265	0.012307978788289365	0.010849625996425569	-0.005379048248858733	-0.00441992610653039	23
0.27	0.012530530661919935	0.011118565507926954	-0.005604642994895752	-0.004631218823839807	23
0.275	0.012758309288165228	0.011400595869490104	-0.0058384775970845675	-0.004853975514192744	24
0.28	0.01299146153629752	0.011696596965726058	-0.006080887916358815	-0.0050890480035306745	24
0.285	0.013230135410377094	0.012007525344129313	-0.006332224706130386	-0.005337367261683006	24
0.29	0.013474475360162058	0.012334422372345671	-0.006592852188649138	-0.005599952338072511	24
0.295	0.013724620560352343	0.01267842252467814	-0.006863147827977764	-0.005877919976739919	24
0.3	0.013980703296935921	0.013040765312395241	-0.007143502164116688	-0.006172496726199453	24
0.305	0.014242846169182404	0.01342280759875212	-0.007434318021219762	-0.006485032225618796	24
0.31	0.014511157901729696	0.013826035451770233	-0.007736008884069376	-0.006817013310184314	24
0.315	0.014785729569918128	0.014252081403160387	-0.008048997378069477	-0.007170081972196374	24
0.32	0.015066628937667016	0.014702741715339529	-0.008373712589684204	-0.007546054819001858	24
0.325	0.015353894540058716	0.015179997936926745	-0.008710587018064125	-0.007946946343954075	24
0.33	0.015647526137993934	0.01568603844165134	-0.00906005121950162	-0.008374994165350074	24
0.335	0.015947476209234555	0.01622328881247677	-0.009422528647562997	-0.00883269115262932	24
0.34	0.01625363651609857	0.016794441963898555	-0.009798427182914883	-0.009322820180752447	24
0.345	0.01656582265479351	0.017402495562904303	-0.010188128768905347	-0.009848495940050606	24
0.35	0.016883755904231322	0.018050795041094785	-0.010591976595342799	-0.010413213579614658	25
0.355	0.017207033295887502	0.01874308531467165	-0.011010254069207621	-0.011020906905988656	25
0.36	0.017535105463269612	0.019483570564888628	-0.011443166775299468	-0.011676016172662174	25
0.365	0.017867232621544042	0.020276985298827706	-0.011890809271752551	-0.012383569212132862	25
0.37	0.018202435624977753	0.02112867714252766	-0.01235312581674617	-0.013149277020882633	25
0.375	0.018539435035390264	0.0220447103810727	-0.012829860077433326	-0.013979651298766204	25
0.38	0.018876569018468094	0.023031983431496227	-0.013320486350050448	-0.014882141921808109	25
0.385	0.019211690694442382	0.024098377780308468	-0.013824121153732641	-0.015865308127359493	25
0.39	0.01954203361563912	0.025252930004067857	-0.014339405032637201	-0.016939021394104314	26
0.395	0.019864028560600704	0.026506054897507604	-0.014864340247354287	-0.018114723448496177	26
0.4	0.020173078662867296	0.02786980073158441	-0.01539608395874269	-0.019405731348125087	26
0.405	0.020463239917039782	0.029358180179847794	-0.015930654691999075	-0.02082762767060557	26
0.41	0.020726800726335988	0.03098757357629575	-0.016462537443617576	-0.02239874264734088	26
0.415	0.020953709229802213	0.03277723464060627	-0.016984138184142135	-0.024140762166163773	27
0.42	0.021130764327387506	0.03474992447126517	-0.01748500664001675	-0.026079497677354683	27
0.425	0.02124051653287948	0.03693271112961666	-0.01795075950583313	-0.028245866105851752	27
