# a	Re[ω]	Re[ω_k=4]	Re[ω_k=3]	Re[ω_k=2]	Re[ω_k=1]	Re[ω_k=0]	Re[ω_k=-1]
0.	0.393322033609235	-0.0303765	-0.0291737	-0.0164095	-0.0048909	0.00126427	0.00296348
0.1	0.387895802679445	-0.0307382	-0.0297386	-0.0166407	-0.00498154	0.00111551	0.00273614
0.2	0.383236174477429	-0.0316876	-0.0307849	-0.0171045	-0.0051501	0.0009542	0.00252136
0.3	0.379263610223210	-0.0333233	-0.0323955	-0.0178306	-0.00540278	0.000776686	0.00231313
0.4	0.375919904603047	-0.0358401	-0.0347236	-0.0188754	-0.00575309	0.000577437	0.00210497
0.5	0.373164293461937	-0.0395981	-0.0380399	-0.0203381	-0.00622461	0.000348606	0.00188956
0.6	0.370970966541072	-0.0452835	-0.0428396	-0.0223943	-0.0068573	0.0000791714	0.00165837
0.7	0.369327693494136	-0.0543378	-0.0501148	-0.0253794	-0.00772178	-0.000246602	0.00140097
0.8	0.368235424157311	-0.070372	-0.0622101	-0.0300367	-0.00895848	-0.000651951	0.00110425
0.9	0.367708784930429	-0.106166	-0.0867913	-0.03859	-0.010929	-0.00117283	0.000751572
