# a	Re[ω]	Re[ω_k=4]	Re[ω_k=3]	Re[ω_k=2]	Re[ω_k=1]	Re[ω_k=0]	Re[ω_k=-1]
0.	0.393322033609235	-0.0303765	-0.0291737	-0.0164095	-0.0048909	0.00126427	0.00296348
0.1	0.393678372345091	-0.0306715	-0.0294094	-0.0165336	-0.0049394	0.00125057	0.00296254
0.2	0.394758943751560	-0.0315882	-0.0301393	-0.0169171	-0.00508935	0.00120756	0.00295869
0.3	0.396599594134070	-0.0332305	-0.0314378	-0.017596	-0.00535509	0.00112921	0.00294866
0.4	0.399264356793070	-0.0358051	-0.0334516	-0.0186406	-0.00576425	0.00100402	0.00292631
0.5	0.402853321686183	-0.0396935	-0.0364467	-0.0201764	-0.00636531	0.000812214	0.0028812
0.6	0.407517416235241	-0.0456221	-0.0409172	-0.022431	-0.00724439	0.000519591	0.00279577
0.7	0.413486872967418	-0.0551119	-0.0478649	-0.025852	-0.00856525	0.0000634112	0.00263891
0.8	0.421130546763028	-0.0719602	-0.0596793	-0.0314585	-0.0106822	-0.000684442	0.00235003
0.9	0.431097727436050	-0.109553	-0.0842217	-0.0423515	-0.014569	-0.00203411	0.00179252
