# a	Re[ω]	Re[ω_k=4]	Re[ω_k=3]	Re[ω_k=2]	Re[ω_k=1]	Re[ω_k=0]	Re[ω_k=-1]
0.	0.373468752142694	-0.0266444	-0.0297888	-0.0173324	-0.00525149	0.000844543	0.00261095
0.1	0.367618217863758	-0.0267964	-0.030415	-0.0175819	-0.00534862	0.000682241	0.00237957
0.2	0.362558115817956	-0.0274521	-0.0315308	-0.0180719	-0.00552377	0.000507831	0.00216187
0.3	0.358204375499287	-0.0286868	-0.0332239	-0.0188328	-0.0057833	0.000316116	0.00195004
0.4	0.354493765219547	-0.0306557	-0.0356536	-0.019923	-0.00614025	0.000100467	0.00173547
0.5	0.351377971048540	-0.0336486	-0.0390995	-0.0214434	-0.00661636	-0.000146583	0.00150945
0.6	0.348819443183017	-0.0382211	-0.0440703	-0.0235732	-0.00724763	-0.000433163	0.00126394
0.7	0.346788615937718	-0.0455456	-0.0515853	-0.0266546	-0.00809802	-0.000768732	0.000992256
0.8	0.345262177859956	-0.0585708	-0.0640546	-0.0314484	-0.00929685	-0.0011658	0.00068979
0.9	0.344220420614392	-0.0877638	-0.0893633	-0.0402361	-0.0111837	-0.00164231	0.000356612
