# a	Im[ω]	Im[ω_k=4]	Im[ω_k=3]	Im[ω_k=2]	Im[ω_k=1]	Im[ω_k=0]	Im[ω_k=-1]
0.	-0.0887316972396525	-0.0164793	0.00422348	0.0160403	0.0157358	0.0109206	0.00650129
0.1	-0.0888792431896028	-0.0203365	0.00252347	0.015142	0.0147715	0.00997737	0.00576284
0.2	-0.0889460709831612	-0.0247683	0.000862919	0.0144665	0.0140032	0.0091868	0.00513808
0.3	-0.0889458096182215	-0.0301071	-0.00084718	0.0139872	0.0133983	0.00851469	0.00459933
0.4	-0.0888865586415657	-0.0368475	-0.0027106	0.0136951	0.0129368	0.00793531	0.00412589
0.5	-0.0887726301468726	-0.0458001	-0.0048697	0.0136014	0.0126105	0.00742847	0.00370084
0.6	-0.0886059741960417	-0.0584339	-0.00755151	0.013748	0.0124256	0.00697796	0.00330892
0.7	-0.0883874590204671	-0.0777651	-0.0111787	0.0142356	0.0124125	0.00657075	0.00293484
0.8	-0.0881179914287582	-0.111261	-0.0167091	0.0153139	0.012656	0.00619666	0.00256011
0.9	-0.0877993426436839	-0.185055	-0.0271749	0.017784	0.0134243	0.00584818	0.00215136
