# a	Im[ω]	Im[ω_k=4]	Im[ω_k=3]	Im[ω_k=2]	Im[ω_k=1]	Im[ω_k=0]	Im[ω_k=-1]
0.	-0.0887316972396525	-0.0164793	0.00422348	0.0160403	0.0157358	0.0109206	0.00650129
0.1	-0.0885718447591272	-0.0147788	0.00514523	0.0166639	0.016374	0.0115093	0.00695322
0.2	-0.0882685974181999	-0.0132647	0.00620326	0.0175441	0.0172426	0.0122682	0.0075231
0.3	-0.0877830103857438	-0.0118327	0.00747863	0.0187536	0.018409	0.0132525	0.00825386
0.4	-0.0870548514805435	-0.0103594	0.00909547	0.0204136	0.0199834	0.0145514	0.00921227
0.5	-0.0859894467569819	-0.00866009	0.0112644	0.0227339	0.0221554	0.0163181	0.0105125
0.6	-0.0844238398148558	-0.00639646	0.0143816	0.0261039	0.0252733	0.0188379	0.0123712
0.7	-0.0820347712272727	-0.00283258	0.0192941	0.031329	0.0300473	0.0226982	0.015247
0.8	-0.0780511539656422	0.00396895	0.0281832	0.0403918	0.0381841	0.029315	0.0202706
0.9	-0.0700406972531922	0.0212942	0.0489088	0.060093	0.0552894	0.043258	0.0311085
