# a	Re[ω]	Re[ω_k=4]	Re[ω_k=3]	Re[ω_k=2]	Re[ω_k=1]	Re[ω_k=0]	Re[ω_k=-1]
0.	0.393322033609235	-0.0303765	-0.0291737	-0.0164095	-0.0048909	0.00126427	0.00296348
0.1	0.382270482825200	-0.0307729	-0.0300464	-0.0167253	-0.00500647	0.000995896	0.0025288
0.2	0.372340256671848	-0.0316614	-0.0313496	-0.0172076	-0.00514756	0.000758564	0.00215689
0.3	0.363349581544725	-0.0331327	-0.0331785	-0.0178856	-0.00531946	0.000545949	0.00183518
0.4	0.355154955554203	-0.0353576	-0.035696	-0.0188083	-0.00552935	0.000353231	0.00155379
0.5	0.347641557940921	-0.0386473	-0.0391811	-0.0200578	-0.0057881	0.000176614	0.00130488
0.6	0.340716355897147	-0.0435936	-0.0441388	-0.0217778	-0.00611359	0.0000130834	0.00108221
0.7	0.334303064781895	-0.0514392	-0.0515774	-0.0242431	-0.00653812	-0.000139736	0.000880616
0.8	0.328338417804692	-0.0653037	-0.0638797	-0.0280691	-0.00712991	-0.00028369	0.000695359
0.9	0.322769376212671	-0.0962651	-0.0888473	-0.0351275	-0.00808175	-0.000420175	0.000519916
