# a	Re[ω]	Re[ω_k=4]	Re[ω_k=3]	Re[ω_k=2]	Re[ω_k=1]	Re[ω_k=0]	Re[ω_k=-1]
0.	0.373468752142694	-0.0266444	-0.0297888	-0.0173324	-0.00525149	0.000844543	0.00261095
0.1	0.361582746932993	-0.026629	-0.0307726	-0.0176731	-0.00537267	0.000557605	0.00217572
0.2	0.350892149224846	-0.0269575	-0.0321826	-0.018175	-0.00550796	0.000316437	0.00181737
0.3	0.341206267138078	-0.0276824	-0.0341254	-0.0188714	-0.00566667	0.000108533	0.00151771
0.4	0.332376103769056	-0.0289063	-0.0367757	-0.0198146	-0.0058586	-0.0000754657	0.00126263
0.5	0.324282255287943	-0.0308177	-0.0404277	-0.0210897	-0.00609569	-0.000242188	0.00104135
0.6	0.316826551520604	-0.0337765	-0.0456097	-0.0228437	-0.00639517	-0.000395755	0.000845951
0.7	0.309926414333242	-0.0385405	-0.0533737	-0.0253578	-0.0067871	-0.000538054	0.000670988
0.8	0.303511075886696	-0.0470206	-0.0662039	-0.0292629	-0.00733577	-0.000669142	0.000512762
0.9	0.297519172566078	-0.0660561	-0.0922294	-0.0364841	-0.00822804	-0.000787791	0.000367573
