# a	Im[ω]	Im[ω_k=4]	Im[ω_k=3]	Im[ω_k=2]	Im[ω_k=1]	Im[ω_k=0]	Im[ω_k=-1]
0.	-0.0888451915448398	-0.0184539	0.00488562	0.0150322	0.014592	0.00984378	0.00524207
0.1	-0.0890263564905273	-0.0219135	0.00347481	0.0142647	0.0137905	0.00905306	0.0046573
0.2	-0.0891206406607132	-0.0259615	0.00210692	0.0136914	0.0131549	0.00838823	0.00416602
0.3	-0.0891509320241851	-0.0309021	0.000708558	0.0132912	0.012661	0.00782198	0.00374443
0.4	-0.0891319923784346	-0.0371965	-0.000804702	0.0130589	0.0122951	0.00733363	0.00337435
0.5	-0.0890730856280538	-0.0456076	-0.00254723	0.0130079	0.0120542	0.00690726	0.00304138
0.6	-0.0889798077950134	-0.057522	-0.00469993	0.0131793	0.0119485	0.00653044	0.00273323
0.7	-0.0888553279646654	-0.0757927	-0.00759793	0.0136692	0.0120111	0.00619332	0.00243797
0.8	-0.0887012193665640	-0.10749	-0.0119973	0.0147131	0.0123274	0.00588798	0.00214093
0.9	-0.0885180134660672	-0.177376	-0.020279	0.0170687	0.0131635	0.00560797	0.00181407
