# a	Re[ω]	Re[ω_k=4]	Re[ω_k=3]	Re[ω_k=2]	Re[ω_k=1]	Re[ω_k=0]	Re[ω_k=-1]
0.	0.393322033609235	-0.0303765	-0.0291737	-0.0164095	-0.0048909	0.00126427	0.00296348
0.1	0.405728669855213	-0.0304346	-0.0286805	-0.0162444	-0.00479599	0.00157258	0.00347742
0.2	0.419796672699674	-0.0309503	-0.0285486	-0.0162242	-0.00471545	0.00193464	0.00409348
0.3	0.435937792159173	-0.0319648	-0.0287891	-0.0163511	-0.00463797	0.00237457	0.00484678
0.4	0.454726990846589	-0.0335622	-0.0294424	-0.0166326	-0.00453997	0.00293848	0.00579838
0.5	0.477013716123594	-0.035882	-0.0305807	-0.0170755	-0.00436803	0.00372143	0.00706782
0.6	0.504159298548274	-0.039138	-0.032308	-0.0176624	-0.00399074	0.00493724	0.00891764
0.7	0.538616339966185	-0.0436141	-0.034715	-0.0182504	-0.00303289	0.00714256	0.0120203
0.8	0.585693483507741	-0.0493225	-0.037466	-0.0180021	-0.0000893003	0.0122415	0.0186395
0.9	0.662073042112106	-0.0502875	-0.0342869	-0.00936118	0.0145513	0.0323999	0.0432037
