# a	Im[ω]	Im[ω_k=4]	Im[ω_k=3]	Im[ω_k=2]	Im[ω_k=1]	Im[ω_k=0]	Im[ω_k=-1]
0.	-0.0887316972396525	-0.0164793	0.00422348	0.0160403	0.0157358	0.0109206	0.00650129
0.1	-0.0887718428128949	-0.0184763	0.00337859	0.0156295	0.0152858	0.0104653	0.00613802
0.2	-0.0887041916976178	-0.0209087	0.00256049	0.0154075	0.014998	0.0101179	0.0058427
0.3	-0.0885310977542387	-0.0239725	0.00171952	0.0153661	0.0148578	0.0098597	0.00559959
0.4	-0.0882467119690830	-0.0279698	0.000797131	0.0155129	0.0148611	0.00967599	0.0053948
0.5	-0.0878378066123062	-0.033404	-0.000287594	0.0158762	0.0150152	0.00955459	0.00521354
0.6	-0.0872841674086706	-0.041193	-0.0016638	0.0165192	0.0153445	0.00948469	0.00503745
0.7	-0.0865583114048878	-0.0532261	-0.00357062	0.0175762	0.0159049	0.00945617	0.00484106
0.8	-0.0856235742669819	-0.0741875	-0.00654439	0.0193648	0.016826	0.00945794	0.00458374
0.9	-0.0844294776038550	-0.120504	-0.0122529	0.0228976	0.0184932	0.00947339	0.00418065
