# a	Re[ω]	Re[ω_k=4]	Re[ω_k=3]	Re[ω_k=2]	Re[ω_k=1]	Re[ω_k=0]	Re[ω_k=-1]
0.	0.393322033609235	-0.0303765	-0.0291737	-0.0164095	-0.0048909	0.00126427	0.00296348
0.1	0.399621589250108	-0.0305709	-0.0290573	-0.0164022	-0.00487817	0.00140246	0.00320924
0.2	0.406937216649552	-0.0313476	-0.0293986	-0.016629	-0.00494975	0.00153044	0.00347947
0.3	0.415461537056009	-0.0327964	-0.0302535	-0.0171227	-0.00511973	0.00164706	0.00378124
0.4	0.425460048987201	-0.035096	-0.0317406	-0.0179467	-0.00541317	0.00174991	0.0041245
0.5	0.437312358559814	-0.038571	-0.0340802	-0.0192162	-0.00587278	0.0018362	0.0045265
0.6	0.451593189120760	-0.0438268	-0.0376844	-0.0211429	-0.00657379	0.00190528	0.00502304
0.7	0.469251412059066	-0.0520974	-0.0433901	-0.024151	-0.00765936	0.00196843	0.00570126
0.8	0.492080919403212	-0.0663439	-0.0531882	-0.0292292	-0.0094342	0.00210265	0.00682871
0.9	0.524405589189205	-0.0962614	-0.0735182	-0.0394047	-0.0125651	0.00297796	0.00973335
