# a	Im[ω]	Im[ω_k=4]	Im[ω_k=3]	Im[ω_k=2]	Im[ω_k=1]	Im[ω_k=0]	Im[ω_k=-1]
0.	-0.0887316972396525	-0.0164793	0.00422348	0.0160403	0.0157358	0.0109206	0.00650129
0.1	-0.0884820971456526	-0.012945	0.00605388	0.017209	0.0169459	0.0120641	0.00739274
0.2	-0.0880986741067052	-0.00950975	0.0081249	0.0187246	0.0184779	0.0134777	0.00849535
0.3	-0.0875356598823430	-0.0059335	0.0105885	0.0207101	0.0204516	0.01527	0.00989904
0.4	-0.0867260408689749	-0.0019027	0.0136809	0.0233701	0.0230665	0.0176234	0.0117544
0.5	-0.0855593471232380	0.00306791	0.0178113	0.0270658	0.0266735	0.0208657	0.0143395
0.6	-0.0838111661758647	0.00981496	0.0237642	0.0324861	0.0319334	0.0256303	0.018216
0.7	-0.0809390871747120	0.019857	0.0331731	0.0410826	0.0401875	0.0332072	0.0245773
0.8	-0.0756820385453551	0.0369924	0.0499923	0.0566279	0.0548656	0.0467656	0.0363265
0.9	-0.0644062991002324	0.0817059	0.0925242	0.0964818	0.092753	0.0829967	0.0704191
