# a	Re[ω]	Re[ω_k=4]	Re[ω_k=3]	Re[ω_k=2]	Re[ω_k=1]	Re[ω_k=0]	Re[ω_k=-1]
0.	0.373468752142694	-0.0266444	-0.0297888	-0.0173324	-0.00525149	0.000844543	0.00261095
0.1	0.380222615955599	-0.0269775	-0.029615	-0.0173142	-0.0052324	0.000997859	0.00286245
0.2	0.388032561500006	-0.0278293	-0.0298987	-0.0175386	-0.00529858	0.00114282	0.00313896
0.3	0.397107967042699	-0.0292933	-0.0306915	-0.0180408	-0.00546684	0.00127742	0.00344457
0.4	0.407743572645643	-0.0315518	-0.032107	-0.0188911	-0.0057694	0.00139592	0.00378434
0.5	0.420373371179138	-0.0349431	-0.0343622	-0.0202205	-0.00626839	0.00148349	0.00416545
0.6	0.435677282736563	-0.0401253	-0.0378794	-0.0222845	-0.00709332	0.00149673	0.00459083
0.7	0.454809989569232	-0.0485287	-0.0435629	-0.0256369	-0.00855084	0.00129773	0.00502268
0.8	0.479970662000897	-0.0638968	-0.0537576	-0.031739	-0.011531	0.000380966	0.00520005
0.9	0.516255932793040	-0.0998961	-0.0772574	-0.0462106	-0.0197741	-0.00378993	0.00338675
