# a	Im[ω]	Im[ω_k=4]	Im[ω_k=3]	Im[ω_k=2]	Im[ω_k=1]	Im[ω_k=0]	Im[ω_k=-1]
0.	-0.0887316972396525	-0.0164793	0.00422348	0.0160403	0.0157358	0.0109206	0.00650129
0.1	-0.0886689144941036	-0.0166231	0.00425298	0.016137	0.0158202	0.0109761	0.00653484
0.2	-0.0884745849301396	-0.0170693	0.00434391	0.0164348	0.0160792	0.0111456	0.00663737
0.3	-0.0881301602589763	-0.0178654	0.00450417	0.0169576	0.0165305	0.0114384	0.0068142
0.4	-0.0876023722597396	-0.0191052	0.00474952	0.0177523	0.0172088	0.0118721	0.00707386
0.5	-0.0868386273149771	-0.02096	0.00510914	0.0189014	0.0181746	0.0124768	0.0074287
0.6	-0.0857559663158928	-0.0237507	0.00563809	0.0205521	0.0195321	0.0133034	0.0078973
0.7	-0.0842137835932937	-0.0281416	0.00644626	0.0229826	0.0214676	0.0144371	0.00850668
0.8	-0.0819434538767281	-0.0357783	0.00778088	0.0267889	0.02434	0.0160139	0.00928137
0.9	-0.0783488279000934	-0.0524712	0.0103754	0.0336484	0.0289812	0.018207	0.0101317
