# a	Re[ω]	Re[ω_k=4]	Re[ω_k=3]	Re[ω_k=2]	Re[ω_k=1]	Re[ω_k=0]	Re[ω_k=-1]
0.	0.373468752142694	-0.0266444	-0.0297888	-0.0173324	-0.00525149	0.000844543	0.00261095
0.1	0.386800309313395	-0.0269852	-0.0291667	-0.0171319	-0.00513437	0.00119414	0.00314683
0.2	0.401914032822142	-0.0276616	-0.0288695	-0.0170592	-0.00500863	0.0016309	0.00381665
0.3	0.419277560451482	-0.0287137	-0.0288819	-0.0171071	-0.00485574	0.00219364	0.00467259
0.4	0.439569888124488	-0.0302243	-0.029207	-0.0172713	-0.00464649	0.00294689	0.00580445
0.5	0.463835777664508	-0.0323562	-0.0298708	-0.0175479	-0.0043347	0.00399735	0.00737072
0.6	0.493797454603811	-0.03545	-0.0309499	-0.0179312	-0.00384999	0.00551495	0.00964522
0.7	0.532519074980202	-0.0401597	-0.0326679	-0.0183958	-0.00304901	0.00779149	0.0131099
0.8	0.586115141153724	-0.0468576	-0.0352143	-0.0185125	-0.00108757	0.0119859	0.0192816
0.9	0.672087003064553	-0.0568925	-0.038231	-0.0167278	0.00464677	0.0218367	0.0337203
