# a	Re[ω]	Re[ω_k=4]	Re[ω_k=3]	Re[ω_k=2]	Re[ω_k=1]	Re[ω_k=0]	Re[ω_k=-1]
0.	0.373468752142694	-0.0266444	-0.0297888	-0.0173324	-0.00525149	0.000844543	0.00261095
0.1	0.373830016242576	-0.0269136	-0.03003	-0.0174632	-0.00530281	0.00082813	0.00260761
0.2	0.374925539759285	-0.0277513	-0.0307768	-0.0178677	-0.00546176	0.000776255	0.00259526
0.3	0.376791432500065	-0.0292549	-0.0321055	-0.0185843	-0.00574418	0.000680828	0.00256688
0.4	0.379491365809641	-0.0316194	-0.0341655	-0.0196882	-0.00618054	0.000527306	0.00251048
0.5	0.383124450795165	-0.0352071	-0.037228	-0.0213136	-0.00682501	0.000291206	0.00240764
0.6	0.387841571768189	-0.0407154	-0.0417989	-0.0237065	-0.00777698	-0.0000718846	0.00222818
0.7	0.393876382662699	-0.0496263	-0.048909	-0.0273542	-0.00923352	-0.000652455	0.00191357
0.8	0.401600622573797	-0.0656959	-0.0610306	-0.0333732	-0.0116358	-0.00165742	0.00133083
0.9	0.411613722429941	-0.102345	-0.0863077	-0.0451433	-0.0162055	-0.00362776	0.000145547
