0.	Indeterminate	Indeterminate	0	0	11
0.005	-0.06928940275815808	-0.0055369860918996865	-0.0006908587713512762	-0.000056875700574804725	30
0.01	-0.06793550243221168	-0.0055498017928525475	-0.0013507501379410555	-0.00011688360334215979	30
0.015	-0.06661137378309276	-0.005563234836283664	-0.001980827642731478	-0.00017984540000817435	31
0.02	-0.06531601884772105	-0.005577180689822055	-0.0025821906354072995	-0.00024558737789266054	31
0.025	-0.06404847056273627	-0.005591531877971741	-0.0031558867517571944	-0.0003139398488151222	31
0.03	-0.06280780396619251	-0.005606189310642662	-0.0037029149686829015	-0.0003847372599295759	31
0.035	-0.061593131267691364	-0.005621060179038396	-0.004224228156672243	-0.0004578180805480147	31
0.04	-0.06040359823903341	-0.005636049868011653	-0.004720735429693309	-0.0005330241129320706	32
0.045	-0.05923839115270105	-0.005651080046965493	-0.005193305085905616	-0.0006102016681182399	32
0.05	-0.05809672137768506	-0.0056660669892743265	-0.005642765783042001	-0.0006891998952611312	32
0.055	-0.056977833459110096	-0.005680932634290644	-0.006069909281798888	-0.0007698714179012309	32
0.06	-0.05588100049427335	-0.005695603434817502	-0.0064754921092409195	-0.0008520721798960546	32
0.065	-0.054805522292453515	-0.005710003740541897	-0.006860237318749358	-0.0009356605532520011	33
0.07	-0.05375073013045525	-0.005724074066544002	-0.00722483687030666	-0.001020499479237874	33
0.075	-0.052715975661833836	-0.005737745390246756	-0.007569952161132326	-0.0011064532367413525	33
0.08	-0.05170063668392512	-0.005750955016483327	-0.00789621632281952	-0.001193389232260052	33
0.085	-0.050704113350198324	-0.005763639740045552	-0.008204235320184132	-0.0012811769575754631	34
0.09	-0.04972582970667548	-0.005775748502782965	-0.008494589645500393	-0.0013696899541885826	34
0.095	-0.048765229406651525	-0.0057872215685353424	-0.008767835215310875	-0.0014588023890130778	34
0.1	-0.047821777244817607	-0.0057980057680161404	-0.00902450487059185	-0.0015483913934716096	34
0.105	-0.04689495708181566	-0.0058080450278572265	-0.009265109411135888	-0.0016383352967864972	35
0.11	-0.04598427153056761	-0.005817296212127822	-0.009490138602133194	-0.0017285166306625615	35
0.115	-0.04508924110377949	-0.005825706255912957	-0.009700062464169983	-0.0018188176048934595	35
0.12	-0.04420940388586149	-0.0058332276196501	-0.00989533215375078	-0.001909123008825321	35
0.125	-0.043344314262178996	-0.0058398115934329	-0.010076380852671441	-0.0019993187468833697	36
0.13	-0.04249354121821775	-0.005845418897343253	-0.010243624268283296	-0.0020892942241421447	36
0.135	-0.04165667065116361	-0.005850001848228634	-0.01039746242771554	-0.0021789381881446913	36
0.14	-0.0408333023179789	-0.005853518812979321	-0.010538279629044403	-0.0022681419782909495	36
0.145	-0.040023050942357745	-0.0058559237059455475	-0.010666445901148514	-0.0023567968877500037	37
0.15	-0.03922554218954008	-0.005857181858565883	-0.01078231639008671	-0.0024447982098922093	37
0.155	-0.0384404171835039	-0.005857249327364221	-0.010886233878449135	-0.002532039805679703	37
0.16	-0.03766732913215338	-0.005856086478359307	-0.010978528361621404	-0.002618417571153349	37
0.165	-0.03690594397644331	-0.0058536526758996964	-0.011059518096959424	-0.002703827950692718	38
0.17	-0.0361559362925705	-0.0058499133271671215	-0.011129509014656792	-0.00278816992455157	38
0.175	-0.035416995300727463	-0.005844828156812353	-0.011188797392665994	-0.002871341592943271	38
0.18	-0.03468882069861077	-0.005838358555439141	-0.011237669162318059	-0.002953242190737113	39
0.185	-0.03397111947607919	-0.005830471509029742	-0.011276399394354604	-0.0030337733417568147	39
0.19	-0.03326361221117696	-0.005821128059213842	-0.011305255267151877	-0.0031128354296540437	39
0.195	-0.032566029726002935	-0.005810290448101076	-0.011324495410278097	-0.003190329748481044	40
0.2	-0.031878107808000114	-0.005797927006790219	-0.011334368423882408	-0.0032661600996878723	40
0.205	-0.031199595961710257	-0.005783999871823008	-0.011335116942855836	-0.0033402287523963585	40
0.21	-0.03053025237652421	-0.005768472695555686	-0.0113269761268186	-0.0034124389123975493	41
0.215	-0.029869839514169508	-0.005751313779794301	-0.011310172391782572	-0.00348269578560072	41
0.22	-0.02921813296343611	-0.0057324872480958595	-0.011284927513757134	-0.003550903602911739	41
0.225	-0.028574915688923445	-0.005711956511506865	-0.011251456922109642	-0.0036169666069116244	42
0.23	-0.027939975024833405	-0.005689692113979747	-0.011209968432249223	-0.003680792081224493	42
0.235	-0.0273131111054681	-0.005665656266315516	-0.011160666938251393	-0.0037422845282783883	43
0.24	-0.026694125908336738	-0.005639818004921247	-0.011103749532113742	-0.003801351276579365	43
0.245	-0.026082833138152097	-0.005612143531486327	-0.01103941048477681	-0.0038578990200024478	43
0.25	-0.02547905329907524	-0.005582597873091441	-0.010967839621584572	-0.003911834206584053	44
0.255	-0.024882609496662086	-0.0055511517263816534	-0.01088922035874999	-0.00396306582237968	44
0.26	-0.02429333736520804	-0.005517769603703109	-0.010803735184190977	-0.0040115007374473665	45
0.265	-0.02371107251515682	-0.005482421366872841	-0.01071155971283704	-0.00405704811382596	45
0.27	-0.02313566358122191	-0.005445073380176356	-0.010612869451954263	-0.004099616208584312	46
0.275	-0.0225669588195312	-0.005405695876480713	-0.01050783353934808	-0.004139114957292327	46
0.28	-0.022004818309250464	-0.005364255256457973	-0.010396621268739649	-0.004175453143924637	47
0.285	-0.021449102085837956	-0.005320723139390667	-0.01027939607754525	-0.00420854196974514	47
0.29	-0.020899681637667582	-0.005275066795927097	-0.01015632216702057	-0.004238291230122187	48
0.295	-0.020356429308938294	-0.005227257597592816	-0.01002755890666103	-0.004264612737534642	49
0.3	-0.019819222483427164	-0.005177265759020612	-0.00989326354849443	-0.004287418037217752	49
0.305	-0.019287948048524434	-0.005125060390189136	-0.009753593852955078	-0.004306618773599223	50
0.31	-0.018762491976666344	-0.0050706151892672925	-0.009608702376336348	-0.004322128873409178	50
0.315	-0.01824275029938991	-0.0050138995248217915	-0.009458743337632055	-0.004333860792997893	51
0.32	-0.017728619191958894	-0.004954886122660014	-0.009303866864842105	-0.004341728767659595	52
0.325	-0.01722000047798751	-0.00489354845361879	-0.00914422231448605	-0.004345647954472688	53
0.33	-0.01671679819680534	-0.0048298597755937105	-0.008979956757507986	-0.004345533624232026	53
0.335	-0.016218924497382624	-0.0047637923484401936	-0.008811218535321087	-0.0043413012803925535	54
0.34	-0.01572629032573049	-0.0046953207088127865	-0.008638151891386156	-0.004332867642424243	55
0.345	-0.015238810968992399	-0.004624420600443202	-0.00846090028028216	-0.0043201506253912475	56
0.35	-0.014756404574112474	-0.004551066018218337	-0.008279606088052402	-0.004303067504976166	57
0.355	-0.014278990916980705	-0.004475233169301217	-0.008094409539064658	-0.004281537095100161	58
0.36	-0.013806492213010176	-0.004396896344675229	-0.007905449822536048	-0.004255477406609055	59
0.365	-0.013338831067064034	-0.004316032554749101	-0.007712863328405138	-0.004224808185778295	60
0.37	-0.012875931077937209	-0.004232617345967736	-0.007516784662768722	-0.004189448460944303	61
0.375	-0.012417716522130593	-0.004146625747330017	-0.0073173463834803245	-0.004149317025705026	63
0.38	-0.01196410780731217	-0.004058033279667463	-0.007114676030458327	-0.0041043324667960875	64
0.385	-0.011515026020776649	-0.003966813693522572	-0.006908899297602864	-0.004054412221095783	65
0.39	-0.011070389763740047	-0.0038729395163663374	-0.006700137945191235	-0.00399947242860584	67
0.395	-0.010630109583723447	-0.0037763822637860768	-0.006488506090244927	-0.003939427189337451	68
